# HSK COORS  :  [0.0, 0.23401070363498697, 0.36911684621020824, 0.6393291316493259]
# HSK SYMBOL :  ['Γ', 'M', 'K', 'Γ']
# PROJ ATOMS :  [1]


# K-coors        Spin-up(eV)       dxy         dz2       Spin-up(eV)     dxy       dz2    
  0.45099938    -15.77898400    0.000000    0.000000    -15.77898400    0.000000    0.000000  
  0.45372880    -15.88205000    0.000000    0.000000    -15.88204900    0.000000    0.000000  
  0.45645821    -15.98393700    0.000000    0.000000    -15.98393700    0.000000    0.000000  
  0.45918763    -16.08458300    0.000000    0.000000    -16.08458300    0.000000    0.000000  
  0.46191704    -16.18401700    0.000000    0.000000    -16.18401700    0.000000    0.000000  
  0.46464645    -16.28221700    0.000000    0.000000    -16.28221700    0.000000    0.000000  
  0.46737587    -16.37914400    0.000000    0.000000    -16.37914400    0.000000    0.000000  
  0.47010528    -16.47477800    0.000000    0.000000    -16.47477800    0.000000    0.000000  
  0.47283470    -16.56910200    0.000000    0.000000    -16.56910100    0.000000    0.000000  
  0.47556411    -16.66209700    0.000000    0.000000    -16.66209700    0.000000    0.000000  
  0.47829353    -16.75374900    0.000000    0.000000    -16.75374900    0.000000    0.000000  
  0.48102294    -16.84401300    0.000000    0.000000    -16.84401300    0.000000    0.000000  
  0.48375235    -16.93290900    0.000000    0.000000    -16.93290900    0.000000    0.000000  
  0.48648177    -17.02044400    0.000000    0.000000    -17.02044400    0.000000    0.000000  
  0.48921118    -17.10658000    0.000000    0.000000    -17.10658000    0.000000    0.000000  
  0.49194060    -17.19130600    0.000000    0.000000    -17.19130600    0.000000    0.000000  
  0.49467001    -17.27460100    0.000000    0.000000    -17.27460100    0.000000    0.000000  
  0.49739943    -17.35647400    0.000000    0.000000    -17.35647400    0.000000    0.000000  
  0.50012884    -17.43690800    0.000000    0.000000    -17.43690700    0.000000    0.000000  
  0.50285825    -17.51589100    0.000000    0.000000    -17.51589100    0.000000    0.000000  
  0.50558767    -17.59341400    0.000000    0.000000    -17.59341400    0.000000    0.000000  
  0.50831708    -17.66944100    0.000000    0.000000    -17.66944100    0.000000    0.000000  
  0.51104650    -17.74402100    0.000000    0.000000    -17.74402100    0.000000    0.000000  
  0.51377591    -17.81711800    0.000000    0.000000    -17.81711800    0.000000    0.000000  
  0.51650533    -17.88872600    0.000000    0.000000    -17.88872600    0.000000    0.000000  
  0.51923482    -17.95882700    0.000000    0.000000    -17.95882700    0.000000    0.000000  
  0.52196424    -18.02743500    0.000000    0.000000    -18.02743500    0.000000    0.000000  
  0.52469365    -18.09453500    0.000000    0.000000    -18.09453500    0.000000    0.000000  
  0.52742306    -18.16012000    0.000000    0.000000    -18.16011900    0.000000    0.000000  
  0.53015248    -18.22418400    0.000000    0.000000    -18.22418400    0.000000    0.000000  
  0.53288189    -18.28672300    0.000000    0.000000    -18.28672300    0.000000    0.000000  
  0.53561131    -18.34773200    0.000000    0.000000    -18.34773100    0.000000    0.000000  
  0.53834072    -18.40719900    0.000000    0.000000    -18.40719900    0.000000    0.000000  
  0.54107014    -18.46512200    0.000000    0.000000    -18.46512200    0.000000    0.000000  
  0.54379955    -18.52151300    0.000000    0.000000    -18.52151200    0.000000    0.000000  
  0.54652896    -18.57635500    0.000000    0.000000    -18.57635500    0.000000    0.000000  
  0.54925838    -18.62964500    0.000000    0.000000    -18.62964400    0.000000    0.000000  
  0.55198779    -18.68137800    0.000000    0.000000    -18.68137800    0.000000    0.000000  
  0.55471721    -18.73155300    0.000000    0.000000    -18.73155300    0.000000    0.000000  
  0.55744662    -18.78016500    0.000000    0.000000    -18.78016400    0.000000    0.000000  
  0.56017604    -18.82721100    0.000000    0.000000    -18.82721100    0.000000    0.000000  
  0.56290546    -18.87268800    0.000000    0.000000    -18.87268800    0.000000    0.000000  
  0.56563487    -18.91655200    0.000000    0.000000    -18.91655200    0.000000    0.000000  
  0.56836429    -18.95888300    0.000000    0.000000    -18.95888300    0.000000    0.000000  
  0.57109371    -18.99964500    0.000000    0.000000    -18.99964500    0.000000    0.000000  
